Product_Id,Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Id,Store_Establishment_Year,Store_Size,Store_Location_City_Type,Store_Type,Product_Store_Sales_Total,Store_Age,Is_New_Store,Price_Per_Weight,Price_Per_Area,Is_Tier1,Is_Large_Store,Premium_in_Tier1,Product_Sugar_Content_Encoded,Product_Type_Encoded,Store_Type_Encoded
FD5621,15.14,Low Sugar,0.052,Snack Foods,148.06,OUT001,1987,High,Tier 2,Supermarket Type1,4037.27,37,0,9.772937293729372,2388.064516129032,0,1,0,0,13,2
NC6961,13.99,No Sugar,0.076,Household,71.99,OUT002,1998,Small,Tier 3,Food Mart,2220.7,26,0,5.142142857142857,837.0930232558139,0,0,0,1,9,1
FD3834,8.57,Low Sugar,0.112,Meat,111.78,OUT002,1998,Small,Tier 3,Food Mart,1808.35,26,0,13.027972027972028,916.2295081967213,0,0,0,0,10,1
FD3342,13.29,Regular,0.126,Baking Goods,109.69,OUT004,2009,Medium,Tier 2,Supermarket Type2,2832.54,15,0,8.247368421052633,806.5441176470588,0,0,0,2,0,3
FD5895,13.49,Low Sugar,0.049,Fruits and Vegetables,152.38,OUT004,2009,Medium,Tier 2,Supermarket Type2,3751.07,15,0,11.287407407407407,2582.7118644067796,0,0,0,0,6,3
FD32,15.92,Low Sugar,0.045,Canned,191.88,OUT003,1999,Medium,Tier 1,Departmental Store,5527.72,25,0,12.045197740112995,3488.7272727272725,1,0,1,0,3,0
FD3673,12.16,Low Sugar,0.022,Fruits and Vegetables,171.91,OUT004,2009,Medium,Tier 2,Supermarket Type2,3849.96,15,0,14.125718981101068,5372.1875,0,0,0,0,6,3
DR1777,14.52,Low Sugar,0.054,Soft Drinks,184.39,OUT001,1987,High,Tier 2,Supermarket Type1,4638.79,37,0,12.69029593943565,2881.0937499999995,0,1,0,0,14,2
FD5910,12.39,Regular,0.14,Breakfast,137.74,OUT004,2009,Medium,Tier 2,Supermarket Type2,3204.52,15,0,11.108064516129033,918.2666666666665,0,0,0,2,2,3
FD5844,14.61,Low Sugar,0.016,Dairy,141.97,OUT004,2009,Medium,Tier 2,Supermarket Type2,3792.19,15,0,9.710670314637483,5460.384615384615,0,0,0,0,4,3
FD2698,14.21,Low Sugar,0.025,Snack Foods,175.34,OUT003,1999,Medium,Tier 1,Departmental Store,4384.94,25,0,12.330520393811533,5009.714285714285,1,0,1,0,13,0
DR2126,7.82,reg,0.036,Hard Drinks,102.18,OUT002,1998,Small,Tier 3,Food Mart,1443.06,26,0,13.049808429118775,2221.304347826087,0,0,0,3,7,1
FD5045,12.28,Low Sugar,0.011,Snack Foods,127.58,OUT004,2009,Medium,Tier 2,Supermarket Type2,2971.03,15,0,10.38079739625712,6075.238095238095,0,0,0,0,13,3
FD6350,12.0,Low Sugar,0.097,Snack Foods,157.77,OUT004,2009,Medium,Tier 2,Supermarket Type2,3524.53,15,0,13.136552872606163,1474.4859813084113,0,0,0,0,13,3
FD5701,7.03,Regular,0.088,Canned,129.3,OUT002,1998,Small,Tier 3,Food Mart,1820.35,26,0,18.366477272727273,1319.387755102041,0,0,0,2,3,1
FD478,13.39,Low Sugar,0.117,Dairy,151.09,OUT004,2009,Medium,Tier 2,Supermarket Type2,2135.61,15,0,11.275373134328358,1189.6850393700788,0,0,0,0,4,3
FD8257,12.59,Low Sugar,0.031,Snack Foods,184.38,OUT003,1999,Medium,Tier 1,Departmental Store,4203.86,25,0,14.633333333333333,4497.073170731707,1,0,1,0,13,0
FD4414,12.45,Low Sugar,0.123,Meat,181.21,OUT001,1987,High,Tier 2,Supermarket Type1,4105.78,37,0,14.543338683788123,1362.4812030075188,0,1,0,0,10,2
FD5724,15.03,Low Sugar,0.067,Canned,115.38,OUT004,2009,Medium,Tier 2,Supermarket Type2,3344.04,15,0,7.67154255319149,1498.4415584415583,0,0,0,0,3,3
FD1111,14.91,Low Sugar,0.1,Meat,166.86,OUT003,1999,Medium,Tier 1,Departmental Store,4368.82,25,0,11.183646112600536,1516.909090909091,1,0,1,0,10,0
FD1874,13.91,Low Sugar,0.154,Meat,172.36,OUT003,1999,Medium,Tier 1,Departmental Store,4255.98,25,0,12.382183908045977,1050.9756097560976,1,0,1,0,10,0
FD8319,14.2,Low Sugar,0.033,Fruits and Vegetables,135.22,OUT004,2009,Medium,Tier 2,Supermarket Type2,3561.93,15,0,9.515833919774806,3144.6511627906975,0,0,0,0,6,3
DR1690,11.81,Low Sugar,0.1,Soft Drinks,180.62,OUT004,2009,Medium,Tier 2,Supermarket Type2,3950.16,15,0,15.28087986463621,1642.0,0,0,0,0,14,3
FD7210,11.18,Low Sugar,0.036,Baking Goods,124.9,OUT004,2009,Medium,Tier 2,Supermarket Type2,2668.03,15,0,11.161751563896336,2715.217391304348,0,0,0,0,0,3
FD3784,7.03,Low Sugar,0.172,Snack Foods,99.01,OUT002,1998,Small,Tier 3,Food Mart,1200.1,26,0,14.063920454545455,544.0109890109891,0,0,0,0,13,1
FD8692,12.81,Low Sugar,0.025,Snack Foods,143.16,OUT004,2009,Medium,Tier 2,Supermarket Type2,3410.04,15,0,11.166926677067082,4090.2857142857138,0,0,0,0,13,3
FD6194,10.94,Low Sugar,0.051,Frozen Foods,133.62,OUT004,2009,Medium,Tier 2,Supermarket Type2,2792.7,15,0,12.2027397260274,2190.4918032786886,0,0,0,0,5,3
FD7301,13.87,Low Sugar,0.099,Snack Foods,116.18,OUT004,2009,Medium,Tier 2,Supermarket Type2,3097.16,15,0,8.370317002881846,1065.8715596330276,0,0,0,0,13,3
NC7084,12.46,No Sugar,0.053,Others,155.15,OUT004,2009,Medium,Tier 2,Supermarket Type2,3575.15,15,0,12.441860465116278,2462.698412698413,0,0,0,1,11,3
NC2661,12.11,No Sugar,0.079,Health and Hygiene,132.74,OUT004,2009,Medium,Tier 2,Supermarket Type2,3037.57,15,0,10.952145214521453,1491.4606741573036,0,0,0,1,8,3
FD8358,14.83,Regular,0.148,Baking Goods,181.27,OUT001,1987,High,Tier 2,Supermarket Type1,4645.4,37,0,12.214959568733155,1147.2784810126582,0,1,0,2,0,2
DR7979,16.14,Low Sugar,0.112,Soft Drinks,198.44,OUT003,1999,Medium,Tier 1,Departmental Store,5293.66,25,0,12.287306501547986,1626.5573770491803,1,0,1,0,14,0
FD6813,12.03,Regular,0.129,Snack Foods,100.64,OUT001,1987,High,Tier 2,Supermarket Type1,2362.36,37,0,8.358803986710964,724.0287769784172,0,1,0,2,13,2
FD7428,12.95,Regular,0.023,Meat,138.22,OUT004,2009,Medium,Tier 2,Supermarket Type2,3339.26,15,0,10.665123456790123,4188.484848484848,0,0,0,2,10,3
FD3324,14.57,Low Sugar,0.054,Snack Foods,143.73,OUT004,2009,Medium,Tier 2,Supermarket Type2,3818.92,15,0,9.858024691358024,2245.78125,0,0,0,0,13,3
FD576,11.17,Low Sugar,0.016,Meat,137.87,OUT004,2009,Medium,Tier 2,Supermarket Type2,4447.91,15,0,12.331842576028624,5302.692307692308,0,0,0,0,10,3
FD5131,12.95,Regular,0.076,Meat,155.55,OUT004,2009,Medium,Tier 2,Supermarket Type2,3695.51,15,0,12.002314814814817,1808.7209302325584,0,0,0,2,10,3
FD4739,14.44,Regular,0.027,Meat,184.72,OUT001,1987,High,Tier 2,Supermarket Type1,4629.45,37,0,12.783391003460208,4992.4324324324325,0,1,0,2,10,2
FD6685,14.34,Regular,0.021,Baking Goods,168.19,OUT003,1999,Medium,Tier 1,Departmental Store,4268.48,25,0,11.720557491289199,5425.4838709677415,1,0,1,2,0,0
FD5982,16.76,Low Sugar,0.081,Starchy Foods,169.25,OUT003,1999,Medium,Tier 1,Departmental Store,4836.45,25,0,10.092426952892067,1859.89010989011,1,0,1,0,15,0
FD3384,12.76,Low Sugar,0.03,Fruits and Vegetables,146.66,OUT004,2009,Medium,Tier 2,Supermarket Type2,3470.1,15,0,11.484729835552075,3666.5,0,0,0,0,6,3
DR7064,11.73,Regular,0.048,Soft Drinks,122.21,OUT004,2009,Medium,Tier 2,Supermarket Type2,2737.89,15,0,10.409710391822827,2107.068965517241,0,0,0,2,14,3
FD7133,14.0,Regular,0.042,Breakfast,165.12,OUT001,1987,High,Tier 2,Supermarket Type1,4128.66,37,0,11.785867237687366,3175.3846153846152,0,1,0,2,2,2
NC4781,11.73,No Sugar,0.066,Household,137.3,OUT004,2009,Medium,Tier 2,Supermarket Type2,3044.77,15,0,11.695059625212949,1806.5789473684213,0,0,0,1,9,3
DR4728,7.66,Low Sugar,0.068,Hard Drinks,74.61,OUT002,1998,Small,Tier 3,Food Mart,842.74,26,0,9.727509778357236,956.5384615384615,0,0,0,0,7,1
FD4162,9.68,Regular,0.013,Canned,71.53,OUT002,1998,Small,Tier 3,Food Mart,1236.54,26,0,7.381836945304438,3110.0,0,0,0,2,3,1
FD4166,16.72,Regular,0.128,Canned,160.17,OUT001,1987,High,Tier 2,Supermarket Type1,4642.35,37,0,9.573819485953376,1160.6521739130433,0,1,0,2,3,2
FD5730,16.65,Low Sugar,0.026,Fruits and Vegetables,188.74,OUT003,1999,Medium,Tier 1,Departmental Store,5210.72,25,0,11.328931572629052,5242.777777777778,1,0,1,0,6,0
FD2382,14.8,Low Sugar,0.055,Snack Foods,130.36,OUT004,2009,Medium,Tier 2,Supermarket Type2,3597.04,15,0,8.802160702228225,2005.5384615384617,0,0,0,0,13,3
FD8442,13.28,Regular,0.115,Meat,184.11,OUT003,1999,Medium,Tier 1,Departmental Store,4354.46,25,0,13.853273137697519,1472.88,1,0,1,2,10,0
FD250,13.4,Low Sugar,0.047,Frozen Foods,178.15,OUT001,1987,High,Tier 2,Supermarket Type1,3020.84,37,0,13.284862043251305,3125.438596491228,0,1,0,0,5,2
FD7449,10.29,Low Sugar,0.121,Fruits and Vegetables,152.06,OUT004,2009,Medium,Tier 2,Supermarket Type2,3023.14,15,0,14.763106796116507,1160.7633587786258,0,0,0,0,6,3
DR8079,11.29,Low Sugar,0.021,Hard Drinks,155.86,OUT004,2009,Medium,Tier 2,Supermarket Type2,3325.42,15,0,13.792920353982304,5027.741935483871,0,0,0,0,7,3
FD7272,15.59,Regular,0.05,Fruits and Vegetables,180.74,OUT001,1987,High,Tier 2,Supermarket Type1,4806.88,37,0,11.585897435897436,3012.333333333333,0,1,0,2,6,2
FD3469,11.18,Regular,0.046,Starchy Foods,102.45,OUT002,1998,Small,Tier 3,Food Mart,2207.51,26,0,9.15549597855228,1829.4642857142858,0,0,0,2,15,1
FD5746,11.59,reg,0.091,Dairy,145.79,OUT004,2009,Medium,Tier 2,Supermarket Type2,3188.61,15,0,12.568103448275862,1443.4653465346535,0,0,0,3,4,3
FD1829,14.62,Low Sugar,0.038,Dairy,231.55,OUT003,1999,Medium,Tier 1,Departmental Store,5627.68,25,0,15.827067669172934,4823.958333333333,1,0,1,0,4,0
FD8260,11.48,Low Sugar,0.07,Snack Foods,90.06,OUT002,1998,Small,Tier 3,Food Mart,2022.24,26,0,7.838120104438643,1125.75,0,0,0,0,13,1
FD5863,12.49,Regular,0.077,Fruits and Vegetables,138.54,OUT004,2009,Medium,Tier 2,Supermarket Type2,3243.32,15,0,11.0832,1592.4137931034484,0,0,0,2,6,3
FD6792,10.57,Regular,0.121,Dairy,134.5,OUT004,2009,Medium,Tier 2,Supermarket Type2,2726.88,15,0,12.71266540642722,1026.7175572519084,0,0,0,2,4,3
FD8029,13.49,Low Sugar,0.178,Fruits and Vegetables,184.74,OUT003,1999,Medium,Tier 1,Departmental Store,4414.76,25,0,13.684444444444445,982.6595744680851,1,0,1,0,6,0
NC1944,7.14,No Sugar,0.034,Health and Hygiene,82.6,OUT002,1998,Small,Tier 3,Food Mart,889.12,26,0,11.552447552447553,1877.272727272727,0,0,0,1,8,1
FD31,11.38,Low Sugar,0.073,Meat,158.73,OUT004,2009,Medium,Tier 2,Supermarket Type2,2274.43,15,0,13.93590869183494,1912.409638554217,0,0,0,0,10,3
FD4457,9.62,Low Sugar,0.103,Meat,134.38,OUT004,2009,Medium,Tier 2,Supermarket Type2,2508.69,15,0,13.954309449636554,1189.203539823009,0,0,0,0,10,3
FD8321,11.69,Low Sugar,0.011,Canned,135.43,OUT004,2009,Medium,Tier 2,Supermarket Type2,2998.93,15,0,11.575213675213677,6449.04761904762,0,0,0,0,3,3
FD1040,15.24,Low Sugar,0.059,Baking Goods,141.0,OUT004,2009,Medium,Tier 2,Supermarket Type2,3913.45,15,0,9.245901639344263,2043.4782608695655,0,0,0,0,0,3
FD4295,15.21,Low Sugar,0.157,Dairy,162.53,OUT003,1999,Medium,Tier 1,Departmental Store,4349.32,25,0,10.678712220762154,973.2335329341316,1,0,1,0,4,0
FD3355,9.63,Regular,0.162,Dairy,108.43,OUT002,1998,Small,Tier 3,Food Mart,1980.59,26,0,11.24792531120332,630.4069767441861,0,0,0,2,4,1
FD3181,12.26,Low Sugar,0.14,Snack Foods,138.27,OUT004,2009,Medium,Tier 2,Supermarket Type2,3185.13,15,0,11.268948655256725,921.8,0,0,0,0,13,3
DR3716,11.3,Low Sugar,0.033,Soft Drinks,163.81,OUT004,2009,Medium,Tier 2,Supermarket Type2,3491.22,15,0,14.483642793987622,3809.53488372093,0,0,0,0,14,3
NC6251,11.69,No Sugar,0.035,Others,183.71,OUT004,2009,Medium,Tier 2,Supermarket Type2,3985.57,15,0,15.701709401709403,4082.4444444444443,0,0,0,1,11,3
FD4554,13.23,Regular,0.057,Baking Goods,124.67,OUT004,2009,Medium,Tier 2,Supermarket Type2,3126.74,15,0,9.416163141993957,1860.7462686567164,0,0,0,2,0,3
FD2262,12.98,Low Sugar,0.021,Meat,124.86,OUT004,2009,Medium,Tier 2,Supermarket Type2,3073.1,15,0,9.612009237875288,4027.741935483871,0,0,0,0,10,3
FD669,12.71,Low Sugar,0.029,Canned,145.61,OUT004,2009,Medium,Tier 2,Supermarket Type2,3438.07,15,0,11.447327044025158,3733.589743589744,0,0,0,0,3,3
FD3532,9.73,Regular,0.031,Canned,175.81,OUT004,2009,Medium,Tier 2,Supermarket Type2,3381.51,15,0,18.050308008213552,4288.048780487805,0,0,0,2,3,3
FD2888,13.06,Regular,0.191,Snack Foods,151.96,OUT004,2009,Medium,Tier 2,Supermarket Type2,3646.25,15,0,11.62662586074981,756.0199004975125,0,0,0,2,13,3
FD2216,6.99,Regular,0.023,Fruits and Vegetables,90.88,OUT002,1998,Small,Tier 3,Food Mart,1025.01,26,0,12.982857142857142,2753.9393939393935,0,0,0,2,6,1
FD1404,15.14,Regular,0.088,Snack Foods,182.81,OUT001,1987,High,Tier 2,Supermarket Type1,4747.34,37,0,12.066666666666666,1865.4081632653063,0,1,0,2,13,2
FD5333,10.48,Low Sugar,0.073,Meat,92.63,OUT002,1998,Small,Tier 3,Food Mart,1849.5,26,0,8.830314585319352,1116.0240963855422,0,0,0,0,10,1
FD320,13.34,Low Sugar,0.093,Meat,124.78,OUT003,1999,Medium,Tier 1,Departmental Store,5703.97,25,0,9.346816479400749,1211.4563106796118,1,0,0,0,10,0
FD7573,9.77,Low Sugar,0.035,Canned,154.41,OUT004,2009,Medium,Tier 2,Supermarket Type2,2952.72,15,0,15.78834355828221,3431.333333333333,0,0,0,0,3,3
FD7436,11.44,Low Sugar,0.038,Fruits and Vegetables,174.75,OUT004,2009,Medium,Tier 2,Supermarket Type2,3745.45,15,0,15.262008733624455,3640.625,0,0,0,0,6,3
NC2187,11.61,No Sugar,0.035,Health and Hygiene,96.42,OUT002,1998,Small,Tier 3,Food Mart,2181.04,26,0,8.297762478485371,2142.6666666666665,0,0,0,1,8,1
FD432,9.16,Low Sugar,0.142,Frozen Foods,117.08,OUT001,1987,High,Tier 2,Supermarket Type1,4364.15,37,0,12.767720828789532,770.2631578947369,0,1,0,0,5,2
DR260,14.3,Regular,0.085,Hard Drinks,120.73,OUT004,2009,Medium,Tier 2,Supermarket Type2,2126.69,15,0,8.43675751222921,1270.842105263158,0,0,0,2,7,3
FD2317,12.85,Low Sugar,0.022,Fruits and Vegetables,158.13,OUT004,2009,Medium,Tier 2,Supermarket Type2,3724.09,15,0,12.296267496111975,4941.5625,0,0,0,0,6,3
FD3884,11.72,reg,0.102,Baking Goods,143.79,OUT004,2009,Medium,Tier 2,Supermarket Type2,3175.51,15,0,12.258312020460357,1283.8392857142858,0,0,0,3,0,3
FD2428,9.14,Regular,0.036,Baking Goods,159.23,OUT004,2009,Medium,Tier 2,Supermarket Type2,2907.97,15,0,17.402185792349727,3461.5217391304345,0,0,0,2,0,3
FD7176,11.39,Low Sugar,0.026,Canned,118.84,OUT004,2009,Medium,Tier 2,Supermarket Type2,2591.42,15,0,10.424561403508772,3301.1111111111113,0,0,0,0,3,3
FD4060,12.17,Low Sugar,0.059,Meat,177.83,OUT004,2009,Medium,Tier 2,Supermarket Type2,3973.77,15,0,14.600164203612481,2577.2463768115945,0,0,0,0,10,3
FD3916,10.04,Low Sugar,0.168,Snack Foods,111.63,OUT002,1998,Small,Tier 3,Food Mart,2139.18,26,0,11.107462686567166,627.134831460674,0,0,0,0,13,1
FD3509,13.68,Low Sugar,0.042,Frozen Foods,129.32,OUT004,2009,Medium,Tier 2,Supermarket Type2,3322.1,15,0,9.446311176040906,2486.9230769230767,0,0,0,0,5,3
FD2142,11.96,Regular,0.21,Snack Foods,189.37,OUT001,1987,High,Tier 2,Supermarket Type1,4163.44,37,0,15.820384294068504,860.7727272727273,0,1,0,2,13,2
NC4605,17.45,No Sugar,0.097,Others,195.34,OUT003,1999,Medium,Tier 1,Departmental Store,5525.34,25,0,11.187857961053837,1825.607476635514,1,0,1,1,11,0
FD2452,12.34,Low Sugar,0.016,Dairy,75.29,OUT002,1998,Small,Tier 3,Food Mart,1913.64,26,0,6.096356275303644,2895.769230769231,0,0,0,0,4,1
FD4412,13.35,Low Sugar,0.034,Baking Goods,138.98,OUT004,2009,Medium,Tier 2,Supermarket Type2,3445.02,15,0,10.402694610778443,3158.636363636363,0,0,0,0,0,3
FD4499,15.29,Low Sugar,0.143,Baking Goods,143.19,OUT004,2009,Medium,Tier 2,Supermarket Type2,3971.12,15,0,9.358823529411765,935.8823529411765,0,0,0,0,0,3
FD197,12.6,Low Sugar,0.025,Snack Foods,157.47,OUT004,2009,Medium,Tier 2,Supermarket Type2,3288.06,15,0,12.48770816812054,4499.142857142857,0,0,0,0,13,3
FD451,14.42,Regular,0.036,Dairy,162.86,OUT002,1998,Small,Tier 3,Food Mart,913.54,26,0,11.286209286209287,3540.434782608696,0,0,0,2,4,1
FD2259,11.76,Low Sugar,0.053,Fruits and Vegetables,136.29,OUT004,2009,Medium,Tier 2,Supermarket Type2,3032.46,15,0,11.579439252336448,2163.333333333333,0,0,0,0,6,3
FD7154,16.75,Low Sugar,0.027,Breakfast,211.71,OUT003,1999,Medium,Tier 1,Departmental Store,5702.22,25,0,12.631861575178997,5721.891891891893,1,0,1,0,2,0
FD2831,12.83,Low Sugar,0.095,Canned,159.77,OUT004,2009,Medium,Tier 2,Supermarket Type2,3753.24,15,0,12.443146417445483,1521.6190476190477,0,0,0,0,3,3
FD1368,16.29,reg,0.184,Frozen Foods,217.94,OUT003,1999,Medium,Tier 1,Departmental Store,5726.19,25,0,13.370552147239263,1123.4020618556701,1,0,1,3,5,0
FD784,14.52,Low Sugar,0.061,Fruits and Vegetables,130.67,OUT004,2009,Medium,Tier 2,Supermarket Type2,3541.1,15,0,8.993117687543014,1840.4225352112676,0,0,0,0,6,3
FD3983,11.97,Low Sugar,0.022,Fruits and Vegetables,111.78,OUT004,2009,Medium,Tier 2,Supermarket Type2,2578.16,15,0,9.330550918196995,3493.125,0,0,0,0,6,3
FD2780,7.53,Low Sugar,0.188,Frozen Foods,77.56,OUT002,1998,Small,Tier 3,Food Mart,874.72,26,0,10.286472148541113,391.7171717171717,0,0,0,0,5,1
FD6095,9.61,Regular,0.118,Snack Foods,154.62,OUT004,2009,Medium,Tier 2,Supermarket Type2,2921.65,15,0,16.072765072765076,1207.96875,0,0,0,2,13,3
DR848,12.0,Low Sugar,0.058,Soft Drinks,110.21,OUT004,2009,Medium,Tier 2,Supermarket Type2,2551.99,15,0,9.176519567027476,1620.7352941176468,0,0,0,0,14,3
FD3131,11.98,Regular,0.027,Fruits and Vegetables,156.32,OUT004,2009,Medium,Tier 2,Supermarket Type2,3490.6,15,0,13.037531276063385,4224.864864864865,0,0,0,2,6,3
FD1478,12.88,Regular,0.01,Fruits and Vegetables,181.93,OUT003,1999,Medium,Tier 1,Departmental Store,4217.82,25,0,14.114041892940264,9096.5,1,0,1,2,6,0
DR4603,11.94,Low Sugar,0.067,Soft Drinks,175.92,OUT004,2009,Medium,Tier 2,Supermarket Type2,3883.52,15,0,14.721338912133891,2284.6753246753246,0,0,0,0,14,3
FD8450,14.08,reg,0.074,Breads,127.51,OUT004,2009,Medium,Tier 2,Supermarket Type2,3375.71,15,0,9.049680624556423,1517.9761904761906,0,0,0,3,1,3
FD5334,8.56,Low Sugar,0.035,Fruits and Vegetables,76.33,OUT002,1998,Small,Tier 3,Food Mart,1082.17,26,0,8.906651108518085,1696.222222222222,0,0,0,0,6,1
NC6437,13.01,No Sugar,0.054,Household,144.54,OUT004,2009,Medium,Tier 2,Supermarket Type2,3482.54,15,0,11.101382488479262,2258.4375,0,0,0,1,9,3
